create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 17:44:11,19,강원특별자치도 화천군,206935,"기온이 급격하게 떨어질 것이 예상되므로 각 가정에서는 난방에 유의하시고, 금일 내린 비로 결빙이 우려되니 안전운전 및 미끄럼사고에 유의하시기 바랍니다.",cbs,화천군,,,"[('기온이 급격하게', 0.7014)]"
2023/11/06 18:34:33,19,강원특별자치도 화천군,206593,"기온이 급강하하고 강풍이 지속될 것으로 예상되오니 농작물 및 시설물 피해 주의 , 노약자 건강에 유의하시기 바랍니다.",cbs,화천군,,,"[('유의하시기 바랍니다', 0.6796)]"
2023/11/05 12:46:26,19,강원특별자치도 화천군,206458,"내일 새벽에 많은 비와 강풍이 예보되어 있습니다. 하천변, 산림 인근 지역 등 위험지역에 접근하지 마시고 시설물 관리 등 안전사고에 유의하시기 바랍니다.",cbs,화천군,,,"[('비와 강풍이 예보되어 있습니다', 0.7222)]"
2023/09/20 11:22:36,19,강원특별자치도 화천군,205387,"내일까지 많은 비가 예상되오니 계곡 및 하천변 산책로, 야영장 등 위험지역 출입금지하여 주시고 시설물 관리 등 안전사고에 주의하시기 바랍니다.",cbs,화천군,,,"[('출입금지하여 주시고 시설물', 0.7602)]"
2023/09/03 17:05:20,19,강원특별자치도 화천군,204852,"낙석으로 통제되었던 해산가든~평화터널 삼거리 구간 도로가 복구되어 17시부터 양방향 통행 가능하오니, 이용에 참고하시기 바랍니다.",cbs,화천군,,,"[('17시부터 양방향 통행', 0.6173)]"
2023/09/03 08:11:29,19,강원특별자치도 화천군,204843,"금일08시부터 낙석복구로 인해 해산가든~평화터널 삼거리 양방향 교통통제 예정입니다. 교통정보를 확인하시고, 한묵령구간 우회도로를 이용해주시기 바랍니다.",cbs,화천군,,,"[('금일08시부터 낙석복구로', 0.6894)]"
2023/08/29 14:28:45,19,강원특별자치도 화천군,204550,"현재 많은 비가 내리고 있으니 계곡 및 하천변 산책로, 야영장 등 위험지역 출입금지하여 주시고 시설물 관리 등 안전사고에 주의하시기 바랍니다.",cbs,화천군,,,"[('위험지역 출입금지하여', 0.7569)]"
2023/08/23 14:47:45,19,강원특별자치도 화천군,204218,"현재 많은 비가 내리고 있으니 하천변 산책로, 야영장, 산간계곡 등 위험지역 출입금지 및 시설물 관리 등 안전사고에 유의하시기 바랍니다.",cbs,화천군,,,"[('산간계곡 위험지역 출입금지 시설물', 0.7142)]"
2023/08/23 13:07:46,19,강원특별자치도 화천군,204184,"오늘 오후2시부터 20분간 공습 대비 민방위 훈련 실시, 차량이동통제구간(3.1만세운동공원-십자약국-붕어섬입구-회전교차로-3.1만세운동공원)",cbs,화천군,3.1만세운동공원-십자약국-붕어섬입구-회전교차로-3.1만세운동공원,,"[('십자약국 붕어섬입구 회전교차로', 0.5718)]"
2023/08/22 17:19:27,19,강원특별자치도 화천군,204000,"오늘 밤부터 내일까지 많은 비가 예상되오니, 하천변, 산간계곡 등 위험지역 출입을 금지하시고 시설물 안전에 유의하시기 바랍니다.",cbs,화천군,,,"[('오늘 밤부터', 0.6494)]"
2023/08/16 12:56:54,19,강원특별자치도 화천군,203434,당분간 무더운 날씨가 지속되니 야외활동 자제하시고 무더위쉼터 이용 및 그늘·실내에서 휴식 등 건강관리에 주의하시기 바랍니다.,cbs,화천군,,,"[('휴식 건강관리에', 0.6757)]"
2023/08/14 13:54:47,19,강원특별자치도 화천군,203251,무더운 날씨가 지속되니 야외활동 자제하시고 무더위 쉼터 이용 및 그늘·실내에서 휴식 등 건강관리에 주의하시기 바랍니다.,cbs,화천군,,,"[('그늘 실내에서', 0.6247)]"
2023/08/10 10:05:07,19,강원특별자치도 화천군,202572,"태풍 카눈 북상으로 인한 안전사고가 우려되니 현수막·입간판·베너 광고물등을 조속히 철거하시고, 계곡·하천변 등 위험지역 출입을 금지하여 주시기 바랍니다.",cbs,화천군,,,"[('조속히 철거하시고 계곡 하천변', 0.6976)]"
