create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/02 15:27:14,19,강원특별자치도 화천군,204834,"현재 도로 위 낙석발생으로 해산터널~평화의댐구간 양방향 전면 교통통제 중입니다.교통정보를 확인하시고, 한묵령구간 우회도로를 이용해주시기 바랍니다.",cbs,화천군청,,,"[('평화의댐구간 양방향', 0.6243)]"
2023/09/02 15:19:06,19,강원특별자치도 화천군,204833,"현재 도로 위 낙석발생으로 인해 해산터널~평화의댐구간 양방향 전면 교통통제 중입니다.교통정보를 확인하시고, 한묵령구간 우도로를 이용해주시기 바랍니다.",cbs,화천군청,,,"[('평화의댐구간 양방향', 0.5636)]"
2023/03/10 18:02:45,19,강원도 화천군,193429,"12일(일) 오후부터 기온이 강하되고 눈이 내릴 것으로 예상되오니, 보온에 신경써주시고 도로결빙에 유의하시기 바랍니다.",cbs,화천군청,일,,"[('기온이 강하되고 눈이 내릴', 0.3524)]"
2023/01/29 09:16:13,19,강원도 화천군,192236,"1.28.(토) 0시 기준 확진자 10명 발생(관내3,군장병4,관외3) 개인방역 수칙 준수를 당부드립니다▶코로나19증상 발생시 검사받고 집에 머물기",cbs,화천군청,토,,"[('코로나19증상 발생시 검사받고', 0.4848)]"
2023/01/28 09:55:12,19,강원도 화천군,192167,"1.28.(토) 0시 기준 확진자 9명 발생(관내6,군장병3) 개인방역 수칙 준수를 당부드립니다▶실내 마스크착용,실내환기와 주기적 소독하기",cbs,화천군청,토,,"[('확진자 9명', 0.5092)]"
2023/01/27 09:27:08,19,강원도 화천군,192032,"1.27.(금) 0시 기준 확진자 19명 발생(관내7,군장병11,관외1) 개인방역 수칙 준수를 당부드립니다▶실내 마스크착용,실내환기와 주기적 소독하기",cbs,화천군청,금,,"[('마스크착용 실내환기와 주기적', 0.535)]"
2023/01/26 10:08:27,19,강원도 화천군,191932,"1.26.(목) 0시 기준 확진자 17명 발생(관내8,군장병9) 개인방역 수칙 준수를 당부드립니다▶실내 마스크 착용, 실내환기와 주기적 소독하기",cbs,화천군청,목,,"[('17명 발생 관내8', 0.5579)]"
2023/01/25 09:24:27,19,강원도 화천군,191775,"1.25.(수) 0시 기준 확진자 6명 발생(관내2,군장병3,관외1) 개인방역 수칙 준수를 당부드립니다▶코로나19백신(동절기추가)접종하기",cbs,화천군청,수,,"[('확진자 6명 발생 관내2', 0.504)]"
2023/01/24 09:17:18,19,강원도 화천군,191562,"1.24.(화) 0시 기준 확진자 9명 발생(관내4,군장병3,괸외2) 개인방역수칙 준수를 당부드립니다▶실내 마스크 착용, 실내환기와 주기적 소독하기",cbs,화천군청,화,,"[('관내4 군장병3 괸외2', 0.4765)]"
2023/01/23 09:57:56,19,강원도 화천군,191330,"1.23.(월) 0시 기준 확진자 12명 발생(관내5,군장병6,괸외1) 개인방역수칙 준수를 당부드립니다▶실내 마스크 착용, 실내환기와 주기적 소독하기",cbs,화천군청,월,,"[('착용 실내환기와 주기적', 0.5497)]"
