create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/15 04:48:33,"239,249","충청북도 괴산군,충청북도 충주시",197681,"괴산댐 월류 예상으로 7월15일 04시30분 괴산댐 하류, 달천에 홍수경보 발령. 저지대 침수 및 하천범람 등 우려가 있으니 안전한 곳으로 대비 바람",cbs,환경부,,,"[('04시30분 괴산댐 하류', 0.5957)]"
2023/06/28 07:05:49,"98,179","광주광역시 전체,전라남도 전체",196048,"오늘 7:00 영산강(본류) 광주시(극락교) 지점 홍수주의보 발령 방송 등을 통해 홍수 상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,환경부,본류,,"[('본류 광주시 극락교', 0.6631)]"
2023/06/28 04:55:58,"70,179,202","경상남도 하동군,전라남도 전체,전라북도 전체",196035,"오늘 4:50 섬진강 곡성군(금곡교)지점 홍수주의보 발령. 방송 등을 통해 홍수 상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,환경부,금곡교,,"[('이용을 자제하시기', 0.5628)]"
2023/06/28 04:32:34,202,전라북도 전체,196029,"오늘 4:20 정읍천 정읍시(초강리) 지점 홍수주의보 발령. 방송 등을 통해 홍수 상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,환경부,초강리,,"[('20 정읍천 정읍시', 0.5501)]"
2023/04/11 18:00:11,"2,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474","강원도 전체,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시",194368,"4월 11일 17시 전국에 황사 경보 “관심”단계 발령, 출입문 닫아 황사 유입 차단, 어린이, 노약자 야외활동 자제, 야외에서 마스크 착용 바랍니다.",cbs,환경부,,,"[('마스크 착용', 0.6365)]"
2023/04/07 08:17:11,"98,113,179,202,222","광주광역시 전체,대전광역시 전체,전라남도 전체,전라북도 전체,충청남도 전체",194220,"미세먼지 노출시 기침.호흡곤란.가려움.안구건조 등 이상증상 위험이 있으니, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의바랍니다.",cbs,환경부,,,"[('외출자제 손씻기 마스크착용', 0.7035)]"
2023/04/06 17:20:11,"98,113,179,202,222","광주광역시 전체,대전광역시 전체,전라남도 전체,전라북도 전체,충청남도 전체",194212,"내일 06~21시 대전, 광주, 충남, 전북, 전남지역에서 미세먼지 비상저감조치 시행. 개인 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('대전 광주', 0.6543)]"
2023/03/20 08:22:21,"21,136,168","경기도 전체,서울특별시 전체,인천광역시 전체",193660,"미세먼지 노출시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험이 있으니, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('노출시 기침 호흡곤란 가려움', 0.6924)]"
2023/03/19 17:20:03,"21,136,168","경기도 전체,서울특별시 전체,인천광역시 전체",193655,"내일 06~21시 서울, 인천, 경기지역에서 미세먼지 비상저감조치 시행. 개인 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('개인 건강관리에 유의 바랍니다', 0.7165)]"
2023/02/07 08:20:52,"8,10,11,12,13,14,15,17,18,19,20,21,113,136,168,222,238,6474","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,대전광역시 전체,서울특별시 전체,인천광역시 전체,충청남도 전체,충청북도 전체,세종특별자치시",192768,"미세먼지 노출시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험이 있으니, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의바랍니다.",cbs,환경부,,,"[('마스크착용 위생관리', 0.68)]"
2023/02/06 17:19:38,"8,10,11,12,13,14,15,17,18,19,20,21,113,136,168,222,238,6474","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,대전광역시 전체,서울특별시 전체,인천광역시 전체,충청남도 전체,충청북도 전체,세종특별자치시",192752,"내일 06~21시 서울, 인천, 경기, 대전, 세종, 충북, 충남, 강원영서 지역에서 미세먼지 비상저감조치 시행. 개인 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('지역에서 미세먼지 비상저감조치', 0.6177)]"
2023/02/06 08:12:54,"21,136,168,6474","경기도 전체,서울특별시 전체,인천광역시 전체,세종특별자치시",192719,"미세먼지 노출시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험이 있으니, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의바랍니다.",cbs,환경부,,,"[('마스크착용 위생관리', 0.68)]"
2023/02/05 17:20:24,"21,136,168,6474","경기도 전체,서울특별시 전체,인천광역시 전체,세종특별자치시",192711,"내일 06~21시 서울, 인천, 경기, 세종지역에서 미세먼지 비상저감조치 시행. 개인 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('인천 경기', 0.7266)]"
2023/01/08 08:19:58,"8,10,11,12,13,14,15,17,18,19,20,21,74,104,136,168,222,238,6474","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,경상북도 전체,대구광역시 전체,서울특별시 전체,인천광역시 전체,충청남도 전체,충청북도 전체,세종특별자치시",189298,"미세먼지 노출시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험이 있으니, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의바랍니다.",cbs,환경부,,,"[('마스크착용 위생관리', 0.68)]"
2023/01/07 17:33:42,"8,10,11,12,13,14,15,17,18,19,20,21,74,104,136,168,222,238,6474","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,경상북도 전체,대구광역시 전체,서울특별시 전체,인천광역시 전체,충청남도 전체,충청북도 전체,세종특별자치시",189283,"내일 06~21시 서울, 인천, 경기, 강원영서, 세종, 충북, 충남, 대구, 경북지역에서 미세먼지 비상저감조치 시행. 개인 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('건강관리에 유의', 0.5773)]"
2023/01/07 08:20:12,"8,10,11,12,13,14,15,17,18,19,20,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474,6487","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시 ,임진강 수계지역(경기도 연천군,파주시)",189151,"미세먼지 노출 시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험. 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('노출 기침 호흡곤란 가려움', 0.709)]"
2023/01/06 17:46:06,"8,10,11,12,13,14,15,17,18,19,20,21,53,74,98,104,113,119,136,162,168,179,202,217,222,238,6474,6487","강원도 양구군,강원도 영월군,강원도 원주시,강원도 인제군,강원도 정선군,강원도 철원군,강원도 춘천시,강원도 평창군,강원도 홍천군,강원도 화천군,강원도 횡성군,경기도 전체,경상남도 전체,경상북도 전체,광주광역시 전체,대구광역시 전체,대전광역시 전체,부산광역시 전체,서울특별시 전체,울산광역시 전체,인천광역시 전체,전라남도 전체,전라북도 전체,제주특별자치도 전체,충청남도 전체,충청북도 전체,세종특별자치시 ,임진강 수계지역(경기도 연천군,파주시)",189105,내일 06~21시 전국(강원영동 제외)에서 미세먼지 비상저감조치 시행. 개인 건강관리 유의 바랍니다.,cbs,환경부,강원영동 제외,,"[('개인 건강관리 유의', 0.7266)]"
2023/01/06 08:20:03,"119,162","부산광역시 전체,울산광역시 전체",188976,"미세먼지 노출시 기침ㆍ호흡곤란ㆍ가려움ㆍ안구건조 등 이상증상 위험, 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의바람",cbs,환경부,,,"[('외출자제 손씻기 마스크착용', 0.6727)]"
2023/01/05 17:33:22,"119,162","부산광역시 전체,울산광역시 전체",188954,"내일 06~21시 부산, 울산지역에서 미세먼지 비상저감조치 시행. 5등급 차량 운행 자제, 개인 건강관리 유의 바랍니다.",cbs,환경부,,,"[('06 21시 부산 울산지역에서', 0.7309)]"
2022/02/12 08:20:10,"21,136,168,202,222,6474","경기도 전체,서울특별시 전체,인천광역시 전체,전라북도 전체,충청남도 전체,세종특별자치시",142568,"미세먼지 노출시 기침·호흡곤란·가려움·안구건조 등 이상증상 위험. 외출자제, 손씻기, 마스크착용 등 위생관리 철저로 건강관리에 유의 바랍니다.",cbs,환경부,,,"[('위생관리 철저로 건강관리에', 0.7147)]"
2022/02/11 17:21:04,"21,136,168,202,222,6474","경기도 전체,서울특별시 전체,인천광역시 전체,전라북도 전체,충청남도 전체,세종특별자치시",142525,"내일 06~21시 서울, 인천, 경기, 세종, 충남, 전북지역에서 미세먼지 비상저감조치 시행. 개인 건강관리 유의 바랍니다.",cbs,환경부,,,"[('비상저감조치 시행 개인', 0.6704)]"
