create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 16:49:52,20,강원특별자치도 횡성군,205234,"오늘 16시 30분 호우주의보 발효. 개울가, 하천, 계곡 등 야영객은 안전한 장소로 대피하여 주시고 시설물 관리 및 안전사고에 유의하여 주시기 바랍니다",cbs,횡성군,,,"[('야영객은 안전한 장소로 대피하여', 0.6445)]"
2023/08/23 17:15:16,20,강원특별자치도 횡성군,204257,"횡성군 현재(17:14분) 1~2시간 동안 천둥, 번개를 동반한 강한 비가 예상되오니 시설물 관리 및 안전사고에 주의하여 주시기 바랍니다.",cbs,횡성군,17:14분,,"[('천둥 번개를 동반한', 0.7145)]"
2023/08/15 14:07:55,20,강원특별자치도 횡성군,203364,"▲계곡,하천에서 물놀이 시 구명조끼 착용 ▲깊은 물 피하기 ▲어린이는 보호자 동반 물놀이 등 안전수칙 준수 ▲다이빙 등 위험한 행위는 자제바랍니다.",cbs,횡성군,,,"[('어린이는 보호자', 0.7267)]"
2023/08/15 13:43:58,20,강원특별자치도 횡성군,203355,"현재 폭염주의보 발효중▲낮 시간 외출, 야외노동·활동 자제▲무더위쉼터 적극 이용▲폭염 안전수칙 준수(물·그늘·휴식) 및 건강관리에 유의바랍니다.",cbs,횡성군,물·그늘·휴식,,"[('폭염주의보 발효중 시간 외출', 0.7043)]"
2023/08/10 12:42:36,20,강원특별자치도 횡성군,202758,"태풍경보 발효 중. ▲오늘 오후 강한 비 및 강풍 예상 ▲하천, 계곡, 산림 주변 등 위험지역 접근금지 ▲외출 및 야외활동 자제 바랍니다.",cbs,횡성군,,,"[('접근금지 외출 야외활동', 0.6227)]"
2023/08/06 20:21:37,20,강원특별자치도 횡성군,201497,오늘 19:40경 청룡리 신성오앤에프 화재 발생. 다량의 연기가 발생하고 있으니 인근 주민께서는 외출을 자제하시고 현장을 우회하여 안전운행 바랍니다.,cbs,횡성군,,,"[('인근 주민께서는 외출을 자제하시고', 0.5071)]"
2023/08/06 17:50:28,20,강원특별자치도 횡성군,201491,"▲18시 이후 물놀이, 다슬기 채취 등 입수 자제 ▲단독수영, 음주수영, 야간수영 금지 ▲다이빙 등 위험한 행위 금지 등 안전수칙 준수 바랍니다.",cbs,횡성군,,,"[('금지 다이빙 위험한', 0.676)]"
2023/08/06 10:14:17,20,강원특별자치도 횡성군,201360,"폭염경보 발효중. 농업인 및 실외근로자 야외활동 자제, 무더위 쉼터 이용, 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,횡성군,"물, 그늘, 휴식",,"[('농업인 실외근로자 야외활동 자제', 0.6914)]"
2023/08/06 09:26:23,20,강원특별자치도 횡성군,201332,"▲계곡,하천 구명조끼 착용 ▲깊은 물 피하기 ▲어린이는 보호자 동반 물놀이 ▲다이빙 등 위험한 행위 금지 ▲음주수영 금지 등 안전수칙 준수 바랍니다.",cbs,횡성군,,,"[('피하기 어린이는 보호자 동반', 0.7162)]"
2023/08/05 10:07:52,20,강원특별자치도 횡성군,201167,▲물놀이 시 구명조끼 착용 ▲깊은 물 피하기 ▲어린이는 보호자 동반 물놀이 ▲다이빙 등 위험한 행위 금지 ▲음주수영 금지 등 안전수칙 준수 바랍니다.,cbs,횡성군,,,"[('어린이는 보호자', 0.7394)]"
