create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/26 15:08:35,20,강원특별자치도 횡성군,199850,"오늘 15시 부로 호우경보 발효. 하천산책로, 급경사지 등 위험지역 접근 금지 바라며, 하천변, 저지대, 산림 인근 주민은 주의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('위험지역 접근 금지 바라며', 0.674)]"
2023/07/22 17:35:05,20,강원특별자치도 횡성군,199356,오늘 횡성군에서 출처가 불분명한 해외우편물 신고가 있었습니다. 출처가 불분명한 우편물은 열지마시고 즉시 112나 119에 신고해 주시기 바랍니다,cbs,횡성군청,,,"[('출처가 불분명한 우편물은', 0.7247)]"
2023/07/21 19:34:08,20,강원특별자치도 횡성군,199191,"오늘 19시15분 호우주의보 발효. 하천산책로, 급경사지 등 위험지역 접근 금지 바라며, 하천변, 저지대, 산림 인근 주민은 주의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('호우주의보 발효 하천산책로', 0.6963)]"
2023/07/17 21:03:46,20,강원특별자치도 횡성군,198495,"금일 20:30분 호우주의보 발효. 하천산책로, 급경사지 등 위험지역 접근 금지 바라며, 하천변, 저지대, 산림 인근 주민은 주의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('저지대 산림 인근 주민은', 0.6755)]"
2023/07/14 20:13:21,20,강원특별자치도 횡성군,197575,오늘 횡성군 지역에 많은 비로 산사태 주의보 발령. 산림 주변 야외활동 자제와 입산금지 등 안전에 유의하시기 바랍니다.,cbs,횡성군청,,,"[('산림 주변 야외활동 자제와', 0.6474)]"
2023/07/13 11:34:12,20,강원특별자치도 횡성군,197053,"12시 부로 호우주의보 발효. 하천산책로,급경사지 등 위험지역 접근 금지 바라며, 하천변, 저지대, 산림 인근 주민은 주의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('접근 금지 바라며 하천변', 0.6489)]"
2023/07/10 06:30:49,20,강원특별자치도 횡성군,196701,"금일 06시 부로 호우주의보 및 강풍주의보 발효. 산사태, 상습침수 등 위험지역 접근금지, 외출 자제 바라며, 시설물 관리에 유의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('산사태 상습침수 위험지역', 0.7497)]"
2023/07/09 12:55:46,20,강원특별자치도 횡성군,196664,"금일 12시 부로 호우주의보 및 강풍주의보 발효. 외출 자제 및 하천, 계곡 등 야영객 대피바라며, 축사 등 시설물 관리에 유의하여 주시기 바랍니다.",cbs,횡성군청,,,"[('축사 시설물 관리에', 0.6653)]"
2023/05/02 19:42:02,20,강원도 횡성군,194798,오늘 18시15분경 갑천면 병지방1리 세계로교회 화재 발생 다량의 연기가 발생중이니 인근 주민께서는 창문을 닫고 외출을 자제해주시기 바랍니다.,cbs,횡성군청,,,"[('18시15분경 갑천면 병지방1리 세계로교회', 0.6681)]"
2023/04/11 11:44:25,20,강원도 횡성군,194344,"오늘 강릉시 대형산불 발생으로 총력 대응 중이며, 강풍에 따른 산불발생 및 확산 위험이 높으니 주민께서는 산불 발생에 각별히 주의하시기 바랍니다.",cbs,횡성군청,,,"[('총력 대응 중이며', 0.6389)]"
2023/02/18 07:04:34,20,강원도 횡성군,193084,04:40경 우천면 법주리 케이프라이드 공장 화재에 따라 다량의 연기가 발생 중이니 인근 주민께서는 창문을 닫고 외출을 자제하시기 바랍니다.,cbs,횡성군청,,,"[('40경 우천면 법주리 케이프라이드', 0.6778)]"
2023/02/18 05:56:12,20,강원도 횡성군,193083,오늘 04:34경 우천면 법주리 743(주)케이프라이드 공장에서 화재 사고 발생. 인근 주민은 외출을 자제하는 등 안전사고 발생에 유의 바랍니다.,cbs,횡성군청,주,,"[('발생 인근 주민은', 0.515)]"
2023/02/06 18:13:25,20,강원도 횡성군,192760,"(정정) 내일(2월 7일 06~21시) 강원영서지역 미세먼지 비상저감조치 발령(5등급 노후차량 운행제한). 외출시 마스크 착용, 야외활동 자제 바랍니다",cbs,횡성군청,정정,,"[('외출시 마스크 착용', 0.6262)]"
2023/02/06 18:03:10,20,강원도 횡성군,192757,"내일 06~09시 미세먼지 비상저감조치 시행(차량 운행제한). 대중교통 이용 동참, 필요시 보건용 마스크 착용 등 건강관리에 유의 바랍니다.",cbs,횡성군청,차량 운행제한,,"[('시행 차량 운행제한 대중교통', 0.7397)]"
2023/01/27 08:51:52,20,강원도 횡성군,192019,1.27.(금) 0시기준 신규확진 20명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,금,12세,"[('추가접종 2가 백신', 0.4764)]"
2023/01/26 08:45:18,20,강원도 횡성군,191891,1.26.(목) 0시기준 신규확진 23명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('백신 신청 340 9881', 0.5087)]"
2023/01/25 10:15:23,20,강원도 횡성군,191796,1.25.(수) 0시기준 신규확진 7명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('추가접종 2가 백신', 0.4719)]"
2023/01/24 09:25:38,20,강원도 횡성군,191566,1.24.(화) 0시기준 신규확진 4명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('동절기 추가접종 2가 백신', 0.4568)]"
2023/01/23 17:02:48,20,강원도 횡성군,191441,"1.23.(월) 21시부 한파경보 발효 가급적 외출 자제 및 건강관리 바라며, 계량기,보일러 동파 / 온열기 화재 / 낙상 등에 유의하시기 바랍니다.",cbs,횡성군청,월,,"[('유의하시기 바랍니다', 0.5961)]"
2023/01/23 12:46:21,20,강원도 횡성군,191386,1.23.(월) 0시기준 신규확진 7명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,월,12세,"[('동절기 추가접종 2가 백신', 0.4693)]"
2023/01/12 09:13:35,20,강원도 횡성군,189858,1.12.(목) 0시기준 신규확진 17명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('동절기 추가접종 2가', 0.4944)]"
2023/01/11 09:03:49,20,강원도 횡성군,189719,1.11.(수) 0시기준 신규확진 17명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('이상 동절기 추가접종 2가', 0.4576)]"
2023/01/10 09:10:13,20,강원도 횡성군,189596,1.10.(화) 0시기준 신규확진 19명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('동절기 추가접종 2가', 0.5162)]"
2023/01/09 11:45:56,20,강원도 횡성군,189531,1.8.(일) 신규확진 9명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,일,12세,"[('2가 백신 신청', 0.4742)]"
2023/01/08 11:24:59,20,강원도 횡성군,189382,1.7.(토) 신규확진 17명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,토,12세,"[('동절기 추가접종', 0.4783)]"
2023/01/07 11:00:52,20,강원도 횡성군,189231,1.6.(금) 신규확진 21명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,금,12세,"[('백신 신청 340 9881', 0.5017)]"
2023/01/06 10:20:26,20,강원도 횡성군,189040,1.5.(목) 신규확진 19명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('12세 이상 동절기', 0.5049)]"
2023/01/05 09:01:58,20,강원도 횡성군,188847,1.4.(수) 신규확진 35명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('이상 동절기 추가접종', 0.4885)]"
2023/01/04 08:48:34,20,강원도 횡성군,188701,1.3.(화) 신규확진 50명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('12세 이상 동절기 추가접종', 0.477)]"
2023/01/03 09:06:09,20,강원도 횡성군,188579,1.2.(월) 신규확진 28명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,월,12세,"[('신청 340 9881', 0.4829)]"
2023/01/02 08:45:55,20,강원도 횡성군,188418,1.1.(일) 신규확진 15명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,일,12세,"[('동절기 추가접종', 0.4631)]"
2023/01/01 10:11:04,20,강원도 횡성군,188333,12.31.(토) 신규확진 26명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,토,12세,"[('신청 340 9881', 0.5274)]"
2022/12/31 10:04:11,20,강원도 횡성군,188157,12.30.(금) 신규확진 26명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,금,12세,"[('2가 백신 신청', 0.5404)]"
2022/12/30 09:03:06,20,강원도 횡성군,187990,12.29.(목) 신규확진 38명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('2가 백신 신청', 0.5778)]"
2022/12/29 09:38:10,20,강원도 횡성군,187853,12.28.(수) 신규확진 39명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('2가 백신 신청', 0.5553)]"
2022/12/28 09:00:55,20,강원도 횡성군,187695,12.27.(화) 신규확진 40명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('url kr d4kr8o', 0.562)]"
2022/12/27 09:01:48,20,강원도 횡성군,187553,12.26.(월) 신규확진 52명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,월,12세,"[('이상 동절기 추가접종', 0.5565)]"
2022/12/26 10:20:59,20,강원도 횡성군,187459,12.25.(일) 신규확진 16명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,일,12세,"[('이상 동절기 추가접종', 0.554)]"
2022/12/25 09:43:45,20,강원도 횡성군,187291,12.24.(토) 신규확진 21명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,토,12세,"[('2가 백신 신청', 0.5454)]"
2022/12/24 12:44:45,20,강원도 횡성군,187199,12.23.(금) 신규확진 42명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,금,12세,"[('2가 백신 신청 340', 0.5572)]"
2022/12/23 09:03:03,20,강원도 횡성군,186880,12.22.(목) 신규확진 47명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('이상 동절기 추가접종 2가', 0.5398)]"
2022/12/22 09:12:49,20,강원도 횡성군,186574,12.21.(수) 신규확진 45명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('동절기 추가접종 2가', 0.5713)]"
2022/12/21 09:31:34,20,강원도 횡성군,186316,12.20.(화) 신규확진 90명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('kr d4kr8o', 0.5784)]"
2022/12/20 09:40:46,20,강원도 횡성군,186074,12.19.(월) 신규확진 67명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,월,12세,"[('동절기 추가접종 2가', 0.5843)]"
2022/12/19 09:37:24,20,강원도 횡성군,185940,12.18.(일) 신규확진 25명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,일,12세,"[('동절기 추가접종', 0.5597)]"
2022/12/18 10:02:48,20,강원도 횡성군,185814,12.17.(토) 신규확진 31명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,토,12세,"[('신청 340 9881', 0.5648)]"
2022/12/17 10:58:24,20,강원도 횡성군,185596,12.16.(금) 신규확진 44명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,금,12세,"[('16 신규확진', 0.5642)]"
2022/12/16 09:47:03,20,강원도 횡성군,185377,12.15.(목) 신규확진 48명 https://url.kr/d4kr8o ▲만 12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,목,12세,"[('동절기 추가접종 2가', 0.5635)]"
2022/12/15 09:17:51,20,강원도 횡성군,185179,12.14.(수) 신규확진 41명 https://url.kr/d4kr8o ▲만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,수,12세,"[('동절기 추가접종', 0.5763)]"
2022/12/14 09:27:23,20,강원도 횡성군,185021,12.13.(화) 신규확진 44명 https://url.kr/d4kr8o ▲ 만12세 이상 동절기 추가접종(2가 백신) 신청(☎340-9881),cbs,횡성군청,화,12세,"[('동절기 추가접종', 0.5846)]"
2022/12/13 09:02:09,20,강원도 횡성군,184759,12.12.(월)신규확진 52명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,월,18세,"[('선별진료소 평일', 0.5548)]"
2022/12/12 09:24:36,20,강원도 횡성군,184624,12.11.(일)신규확진 26명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,일,18세,"[('17시 공휴일', 0.4846)]"
2022/12/11 12:47:03,20,강원도 횡성군,184553,12.10.(토)신규확진 19명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,토,18세,"[('추가접종 신청', 0.5732)]"
2022/12/10 10:43:36,20,강원도 횡성군,184415,12.9.(금) 신규확진 51명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,금,18세,"[('선별진료소 평일', 0.531)]"
2022/12/09 10:24:33,20,강원도 횡성군,184280,12.8.(목) 신규확진 41명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,목,18세,"[('선별진료소 평일 17시 공휴일', 0.5395)]"
2022/12/08 09:25:30,20,강원도 횡성군,184111,12.7.(수) 신규확진 49명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,수,18세,"[('49명 선별진료소', 0.5455)]"
2022/12/07 09:57:18,20,강원도 횡성군,183989,12.6.(화) 확진자 78명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,화,18세,"[('동절기 추가접종', 0.5182)]"
2022/12/06 09:29:53,20,강원도 횡성군,183840,12.5.(월) 확진자 19명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,월,18세,"[('추가접종 신청', 0.5091)]"
2022/12/05 13:09:28,20,강원도 횡성군,183769,12.4.(일) 확진자 18명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,일,18세,"[('선별진료소 평일 17시 공휴일', 0.5197)]"
2022/12/04 16:02:43,20,강원도 횡성군,183660,12.3.(토) 확진자 26명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,토,18세,"[('12 확진자', 0.4806)]"
2022/12/03 15:26:51,20,강원도 횡성군,183524,12.2.(금) 확진자 40명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,금,18세,"[('선별진료소 평일 17시 공휴일', 0.4707)]"
2022/12/02 09:48:24,20,강원도 횡성군,183316,12.1.(목) 확진자 50명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,목,18세,"[('확진자 50명 선별진료소', 0.4728)]"
2022/12/01 08:58:32,20,강원도 횡성군,183145,11.30.(수) 확진자 39명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,수,18세,"[('12시 일요일', 0.4936)]"
2022/11/30 09:16:15,20,강원도 횡성군,183016,11.29.(화) 확진자 71명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,화,18세,"[('선별진료소 평일', 0.5512)]"
2022/11/29 09:15:29,20,강원도 횡성군,182807,11.28.(월) 확진자 16명▲선별진료소 평일(9~17시) 토·공휴일(9~12시) 일요일 미운영▲만18세이상 동절기 추가접종 신청(☎340-9881),cbs,횡성군청,월,18세,"[('16명 선별진료소', 0.5135)]"
