단어,빈도
안전,1528
자제,1183
지역,1043
유의,829
발효,755
위험,729
오늘,674
외출,602
주의,538
야외,535
활동,482
폭염,482
대피,464
예상,391
접근,381
경보,362
금지,358
충분,317
호우,317
휴식,305
산사태,300
건강,297
호우주의보,218
침수,215
태풍,192
현재,187
하천변,185
섭취,177
교통,171
산사태ㆍ상습침수,171
대중,170
저지대,149
수분,146
발령,145
우려,141
그늘,141
시설물,139
예방,138
강풍,138
시00,133
폭염주의보,126
해안,126
주민,120
작업,119
노약자,116
수칙(,115
하천,110
피해,108
방지,106
한파,101
지속,100
무더위,97
상습,96
실외,94
동파,94
출입,93
화재,92
21,92
호우경보,92
내일,90
사전,90
논밭,90
빗길,89
공사장,88
북상,86
온열,85
발생,83
주변,82
산책,81
준수,77
대비,76
질환,73
시30,73
작업장,71
쉼터,71
고정,69
간판,66
물마,65
산림,64
눈길,63
시기,61
계곡,61
취약,61
급경,60
주의보,60
각별,58
11,57
집중,57
"그늘,",56
새벽,56
비닐,55
제주(,54
미끄럼,54
"물,",53
수도관,50
물놀이,49
대설주의보,48
점검,48
지대,47
35,47
