단어,빈도
지역,1050
안전,1007
대피,999
외출,994
자제,994
주의,992
위험,837
호우,747
산사태ㆍ상습침수,717
오늘,676
침수,256
상습,248
호우경보,221
및위험지역,162
시00,158
전남(,143
제주(,125
시30,120
경기(,106
시10,91
시40,86
경남(,85
시50,82
강원(,78
전북(,76
시20,70
제주산,64
산사태,55
충남(,54
09,46
04,46
충북(,45
08,44
경북(,43
03,41
20,39
제주,37
06,35
17,35
19,34
15,34
05,33
21,33
22,32
23,32
02,32
01,32
07,32
00,29
13,28
14,28
18,28
16,27
발효,24
12,24
인천(,24
제주동부,24
시25,22
부산,21
11,20
시35,17
평지,17
거제,16
옹진,16
호우주의보,16
군산,15
완도,15
제주북부,15
시15,15
전남,14
강화,14
하동,13
시45,13
고흥,12
제주서부,12
보령,12
평택,11
간지역,11
서울,11
경기,11
신안,11
여수,11
강원북,10
강원,10
보성,10
합천,10
광주,10
양평,10
광양,10
충남,10
철원,10
고성,10
장흥,10
용인,9
태안,9
:00,9
시5,9
무안,9
제외,9
울산,8
